Model,Fold,CV Accuracy (%),CV Precision (%),CV Recall (%),CV F1-Score (%)
Logistic Regression,Fold 1,72.43,74.69,67.02,70.64
Logistic Regression,Fold 2,72.84,75.3,67.16,71.0
Logistic Regression,Fold 3,73.0,74.92,68.3,71.46
Logistic Regression,Fold 4,72.97,76.36,65.75,70.66
Logistic Regression,Fold 5,72.54,75.53,65.88,70.38
Decision Tree,Fold 1,72.71,75.33,66.7,70.75
Decision Tree,Fold 2,72.94,75.19,67.66,71.23
Decision Tree,Fold 3,72.82,75.03,67.59,71.11
Decision Tree,Fold 4,73.06,78.7,62.48,69.66
Decision Tree,Fold 5,72.89,75.65,66.71,70.9
Random Forest (Bagging),Fold 1,73.22,75.98,67.09,71.26
Random Forest (Bagging),Fold 2,73.22,75.78,67.44,71.37
Random Forest (Bagging),Fold 3,73.44,75.13,69.28,72.08
Random Forest (Bagging),Fold 4,73.48,76.57,66.89,71.4
Random Forest (Bagging),Fold 5,72.94,75.99,66.29,70.81
AdaBoost (Boosting),Fold 1,72.28,75.73,64.74,69.8
AdaBoost (Boosting),Fold 2,72.51,76.3,64.5,69.91
AdaBoost (Boosting),Fold 3,72.78,76.14,65.55,70.45
AdaBoost (Boosting),Fold 4,72.7,77.33,63.43,69.7
AdaBoost (Boosting),Fold 5,72.26,76.89,62.85,69.17
Gradient Boosting (Boosting),Fold 1,73.22,74.73,69.35,71.94
Gradient Boosting (Boosting),Fold 2,73.11,74.88,68.71,71.66
Gradient Boosting (Boosting),Fold 3,73.47,74.58,70.4,72.43
Gradient Boosting (Boosting),Fold 4,73.56,75.99,68.1,71.83
Gradient Boosting (Boosting),Fold 5,73.28,75.55,68.05,71.6
Tuned Gradient Boosting,Fold 1,73.33,74.92,69.33,72.02
Tuned Gradient Boosting,Fold 2,73.22,74.82,69.18,71.89
Tuned Gradient Boosting,Fold 3,73.31,74.32,70.4,72.3
Tuned Gradient Boosting,Fold 4,73.72,76.17,68.25,71.99
Tuned Gradient Boosting,Fold 5,73.24,75.46,68.09,71.59
Tuned Gradient Boosting,Fold 1,73.33,74.92,69.33,72.02
Tuned Gradient Boosting,Fold 2,73.22,74.82,69.18,71.89
Tuned Gradient Boosting,Fold 3,73.31,74.32,70.4,72.3
Tuned Gradient Boosting,Fold 4,73.72,76.17,68.25,71.99
Tuned Gradient Boosting,Fold 5,73.24,75.46,68.09,71.59
Tuned Gradient Boosting,Fold 1,73.33,74.92,69.33,72.02
Tuned Gradient Boosting,Fold 2,73.22,74.82,69.18,71.89
Tuned Gradient Boosting,Fold 3,73.31,74.32,70.4,72.3
Tuned Gradient Boosting,Fold 4,73.72,76.17,68.25,71.99
Tuned Gradient Boosting,Fold 5,73.24,75.46,68.09,71.59
